PARK,BOROUGH,QUARTER,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
STEEPLECHASE PARK,BROOKLYN     ,4,10.01,ONE ACRE OR LARGER,0,0,0,,,,,0
HUNTER'S POINT SOUTH PARK,QUEENS       ,4,10.00,ONE ACRE OR LARGER,0,0,0,,,,,0
UNNAMED PARK ON RICHMOND TERRACE,STATEN ISLAND,4,9.93,ONE ACRE OR LARGER,0,0,0,,,,,0
HYBRID OAK WOODS PARK,STATEN ISLAND,4,9.76,ONE ACRE OR LARGER,0,0,0,,,,,0
WASHINGTON SQUARE PARK,MANHATTAN    ,4,9.75,ONE ACRE OR LARGER,0,0,0,1,0,3,0,4
BRYANT PARK,MANHATTAN    ,4,9.60,ONE ACRE OR LARGER,0,0,0,0,2,6,0,8
ROCKAWAY FREEWAY,QUEENS       ,4,9.40,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BICENTENNIAL VETERANS MEMORIAL PARK,BRONX        ,4,9.40,ONE ACRE OR LARGER,0,0,0,0,1,0,0,1
SUNSET COVE PARK,QUEENS       ,4,9.38,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ST. JOHN'S RECREATION CENTER,BROOKLYN     ,4,9.34,ONE ACRE OR LARGER,0,1,1,0,0,0,0,2
LINDEN PARK,BROOKLYN     ,4,9.32,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HAFFEN PARK,BRONX        ,4,9.24,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
ALLISON POND PARK,STATEN ISLAND,4,9.20,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GRANITEVILLE SWAMP PARK,STATEN ISLAND,4,9.19,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TOTTENVILLE SHORE PARK,STATEN ISLAND,4,9.18,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CAPTAIN TILLY PARK,QUEENS       ,4,9.16,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
HARVEY PARK,QUEENS       ,4,9.15,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MSGR. MCGOLRICK PARK,BROOKLYN     ,4,9.13,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BUSHWICK INLET PARK,BROOKLYN     ,4,9.01,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HENRY HUDSON PARK,BRONX        ,4,8.97,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FRANK PRINCIPE PARK,QUEENS       ,4,8.90,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CASTLE HILL PARK,BRONX        ,4,8.83,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ROCHDALE PARK,QUEENS       ,4,8.83,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ABE STARK SKATING RINK,BROOKLYN     ,4,8.81,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CITY HALL PARK,MANHATTAN    ,4,8.80,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
EAST RIVER WATERFRONT ESPLANADE,MANHATTAN    ,4,8.76,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CROTONA PARKWAY MALLS,BRONX        ,4,8.75,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CONEY ISLAND CREEK PARK,BROOKLYN     ,4,8.66,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MILL ROCK PARK,MANHATTAN    ,4,8.64,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
EAST RIVER ESPLANADE E 90TH ST TO E 125TH ST,MANHATTAN    ,4,8.60,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
